id,item,barcode,code,rs,bdt
,,,,,
281,LADIS BAG,1002100014BNK-086,BNK-086,0,4275.00
,,,,,
282,T-SHIRT,1002100019BNK-138,BNK-138,0,1475.00
,,,,,
283,T-SHIRT,1002100019BNK-140,BNK-140,0,1475.00
,,,,,
284,T-SHIRT,1002100019BNK-142,BNK-142,0,2075.00
,,,,,
285,T-SHIRT,1002100019BNK-143,BNK-143,0,2075.00
,,,,,
286,T-SHIRT,1002100019BNK-144,BNK-144,0,1475.00
,,,,,
287,T-SHIRT,1002100019BNK-146,BNK-146,0,1475.00
288,T-SHIRT,1002100019BNK-149,BNK-149,0,1475.00
,,,,,
289,LADIS BAG,1002100014BNK-088,BNK-088,0,3975.00
,,,,,
290,LADIS BAG,1002100014BNK-090,BNK-090,0,4275.00
,,,,,
291,LADIS BAG,1002100014BNK-092,BNK-092,0,3975.00
,,,,,
292,LADIS BAG,1002100014BNK-093,BNK-093,0,4275.00
,,,,,
293,LADIS BAG,1002100014BNK-094,BNK-094,0,4275.00
,,,,,
294,LADIS BAG,1002100014BNK-095,BNK-095,0,3995.00
,,,,,
295,LADIS BAG,1002100014BNK-096,BNK-096,0,3975.00
,,,,,
296,LADIS BAG,1002100014BNK-097,BNK-097,0,3975.00
,,,,,
297,LADIS BAG,1002100014BNK-098,BNK-098,0,3975.00
,,,,,
298,LADIS BAG,1002100014BNK-101,BNK-101,0,4075.00
,,,,,
299,BELT,1002100025BNK-108,BNK-108,0,1875.00
,,,,,
300,BELT,1002100025BNK-109,BNK-109,0,1875.00
,,,,,
301,T-SHIRT,1002100019BNK-127,BNK-127,0,1675.00
,,,,,
302,T-SHIRT,1002100019BNK-128,BNK-128,0,975.00
,,,,,
303,T-SHIRT,1002100019BNK-129,BNK-129,0,975.00
,,,,,
304,T-SHIRT,1002100019BNK-130,BNK-130,0,975.00
,,,,,
305,T-SHIRT,1002100019BNK-133,BNK-133,0,975.00
,,,,,
306,T-SHIRT,1002100019BNK-135,BNK-135,0,1475.00
,,,,,
307,T-SHIRT,1005040019BNK-242,BNK-242,0,1975.00
,,,,,
308,TOPS,1002090064BNK-053,BNK-053,0,2975.00
,,,,,
309,KURTY,1005040010BNK-222,BNK-222,0,1975.00
,,,,,
310,KURTY,1005040010BNK-223,BNK-223,0,2775.00
,,,,,
311,LAGINCE,1005040015BNK-293,BNK-293,0,1675.00
,,,,,
312,SKIRT,1005040022BNK-272,BNK-272,0,2575.00
,,,,,
313,SKIRT,1005040022BNK-273,BNK-273,0,2575.00
,,,,,
314,SKIRT,1005040022BNK-274,BNK-274,0,2575.00
,,,,,
315,T-SHIRT,1005040019BNK-167,BNK-167,0,2275.00
,,,,,
316,T-SHIRT,1005040019BNK-244,BNK-244,0,1975.00
,,,,,
317,PANT,1006040026BNK-338,BNK-338,0,3775.00
,,,,,
318,PANT,1006040026BNK-339,BNK-339,0,3775.00
,,,,,
319,T-SHIRT,1005040019BNK-241,BNK-241,0,1975.00
,,,,,
320,TOPS,1006190064BNK-394,BNK-394,0,3875.00
,,,,,
321,PANT,1005040026BNK-270,BNK-270,0,2375.00
,,,,,
322,TOPS,1005220064BNK-297,BNK-297,0,2475.00
,,,,,
323,T-SHIRT,1005040019BNK-174,BNK-174,0,2575.00
,,,,,
324,TOPS,1005040064BNK-195,BNK-195,0,1375.00
,,,,,
325,TOPS,1010050064BNK-458,BNK-458,0,2575.00
,,,,,
326,TOPS,1010050064BNK-446,BNK-446,0,1475.00
,,,,,
327,TOPS,1002090064BNK-054,BNK-054,0,2975.00
,,,,,
328,TOPS,1005040064BNK-192,BNK-192,0,1375.00
,,,,,
329,T-SHIRT,1005040019BNK-168,BNK-168,0,2275.00
,,,,,
330,TOPS,1002090064BNK-052,BNK-052,0,2975.00
,,,,,
331,TOPS,1010050064BNK-490,BNK-490,0,2575.00
,,,,,
332,3-Piece Set,1102140059CDG-2702,CDG-2702,"1,295.00",8375.00
,,,,,
333,3-Piece Set,1102140059CDG-2703,CDG-2703,"1,295.00",8375.00
,,,,,
334,3-Piece Set,1102140059CDG-2891,CDG-2891,"1,595.00",6995.00
,,,,,
335,3-Piece Set,1102140059CDG-3513,CDG-3513,"1,295.00",7375.00
336,3-Piece Set,1102140059CDG-3441,CDG-3441,"1,495.00",8325.00
,,,,,
337,3-Piece Set,1102140059CDG-3805,CDG-3805,"1,745.00",6995.00
,,,,,
338,3-Piece Set,1102140059CDG-3044,CDG-3044,"1,345.00",7375.00
,,,,,
339,3-Piece Set,1102140059CDG-3465,CDG-3465,"1,395.00",7475.00
,,,,,
340,3-Piece Set,1102140059CDG-3803,CDG-3803,"1,745.00",6995.00
,,,,,
341,3-Piece Set,1102140059CDG-3444,CDG-3444,"1,495.00",8325.00
,,,,,
342,3-Piece Set,1102140059CDG-3514,CDG-3514,"1,295.00",7375.00
,,,,,
343,3-Piece Set,1102140059CDG-2871,CDG-2871,"1,495.00",7575.00
,,,,,
344,3-Piece Set,1102140059CDG-3442,CDG-3442,"1,495.00",8325.00
,,,,,
345,3-Piece Set,1102140059CDG-3443,CDG-3443,"1,495.00",8325.00
,,,,,
346,3-Piece Set,1102140059CDG-3192,CDG-3192,"1,295.00",7875.00
,,,,,
347,3-Piece Set,1102140059CDG-3193,CDG-3193,"1,295.00",7875.00
,,,,,
348,3-Piece Set,1102140059CDG-3431,CDG-3431,"1,295.00",6975.00
,,,,,
349,3-Piece Set,1102140059CDG-3432,CDG-3432,"1,295.00",6975.00
,,,,,
350,3-Piece Set,1102140059CDG-3434,CDG-3434,"1,295.00",6975.00
,,,,,
351,3-Piece Set,1102140059CDG-3435,CDG-3435,"1,295.00",6975.00
,,,,,
352,3-Piece Set,1102140059CDG-3812,CDG-3812,"1,545.00",6995.00
,,,,,
353,3-Piece Set,1102140059CDG-3821,CDG-3821,"1,545.00",6995.00
,,,,,
